"Название Услуги","Ориентировочная Стоимость","Срок Исполнения","Размер Предоплаты"
"построение и обслуживание структурированных кабельных систем (СКС)","2253074","239","751024"
"создание и поддержка интеллектуальных медиасистем","5296349","326","1765449"
"телефония","8911133","242","2970377"
"создание виртуального офиса","9818372","261","3272790"
"организация резервного копирования","3066408","243","1022136"
"администрирование сетей и серверов","4030835","166","1343611"
"техническая поддержка рабочих станций и ИТ сервисов","9422006","242","3140668"
"веб-разработка","7924870","177","2641623"
"создание мобильных систем","8765404","133","2921801"
"создание и обслуживание систем контроля доступа к портам и устройствам","1394579","313","464859"
"организацию антивирусной защиты","9461274","314","3153758"
"решения касающиеся сетевой безопасности и отражения угроз","1684718","244","561572"
"организация систем видеонаблюдения","8397567","65","4198783"
"построение и обслуживание структурированных кабельных систем (СКС)","1142737","74","380912"
"создание и поддержка интеллектуальных медиасистем","6661513","229","3330756"
"телефония","9201427","275","3067142"
"создание виртуального офиса","6682920","238","3341460"
"организация резервного копирования","7146130","283","2382043"
"администрирование сетей и серверов","7182988","29","3591494"
"техническая поддержка рабочих станций и ИТ сервисов","3551092","128","1775546"
"веб-разработка","7591901","32","2530633"
"создание мобильных систем","690531","112","230177"
"создание и обслуживание систем контроля доступа к портам и устройствам","2810021","246","936673"
"организацию антивирусной защиты","5329540","209","2664770"
"решения касающиеся сетевой безопасности и отражения угроз","3742737","87","1871368"
"организация систем видеонаблюдения","8662806","49","2887602"
"построение и обслуживание структурированных кабельных систем (СКС)","6212226","151","3106113"
"создание и поддержка интеллектуальных медиасистем","505938","200","252969"
"телефония","5101223","142","2550611"
"создание виртуального офиса","6612090","209","2204030"
"организация резервного копирования","6468851","336","2156283"
"администрирование сетей и серверов","4970132","28","1656710"
"техническая поддержка рабочих станций и ИТ сервисов","3354901","112","1677450"
"веб-разработка","9516924","196","3172308"
"создание мобильных систем","8378062","130","2792687"
"создание и обслуживание систем контроля доступа к портам и устройствам","8436675","297","4218337"
"организацию антивирусной защиты","7267521","187","3633760"
"решения касающиеся сетевой безопасности и отражения угроз","4728940","153","2364470"
"организация систем видеонаблюдения","3987844","80","1329281"
"построение и обслуживание структурированных кабельных систем (СКС)","6358482","357","2119494"
"создание и поддержка интеллектуальных медиасистем","3930145","307","1310048"
"телефония","7749291","25","2583097"
"создание виртуального офиса","5352954","162","2676477"
"организация резервного копирования","4770649","351","2385324"
"администрирование сетей и серверов","5705823","223","2852911"
"техническая поддержка рабочих станций и ИТ сервисов","7635786","255","3817893"
"веб-разработка","6070469","134","3035234"
"создание мобильных систем","3537323","358","1768661"
"создание и обслуживание систем контроля доступа к портам и устройствам","1740611","293","870305"
"организацию антивирусной защиты","8829172","324","4414586"
"решения касающиеся сетевой безопасности и отражения угроз","8812273","300","2937424"
"организация систем видеонаблюдения","4135637","116","1378545"
"построение и обслуживание структурированных кабельных систем (СКС)","6225041","322","3112520"
"создание и поддержка интеллектуальных медиасистем","1319771","134","439923"
